Z,N,A,EB_LDM
8,8,16,122.0383505
8,9,17,128.4381002
9,8,17,125.022471
8,10,18,138.1899074
9,9,18,136.9502044
10,8,18,130.9943577
8,11,19,142.4763285
9,10,19,147.2791114
10,9,19,143.5025348
11,8,19,131.1465988
8,12,20,150.0425633
9,11,20,153.9380215
10,10,20,159.059562
11,9,20,146.0344547
12,8,20,134.2334949
8,13,21,152.5999519
9,12,21,162.0286731
10,11,21,166.2613851
11,10,21,162.1363328
12,9,21,149.6535163
9,13,22,166.7898824
10,12,22,176.6328419
11,11,22,174.1830752
12,10,22,168.0426112
10,13,23,181.8890444
11,12,23,185.0646959
12,11,23,180.6020759
13,10,23,168.5011842
10,14,24,190.2636693
11,13,24,192.4194799
12,12,24,196.095367
13,11,24,183.1648096
14,10,24,171.7528141
11,14,25,201.2611507
12,13,25,203.9309034
13,12,25,199.1403737
14,11,25,186.8895616
10,16,26,200.5897808
11,15,26,206.8576448
12,14,26,214.799731
13,13,26,211.292396
14,12,26,204.8973542
11,16,27,213.9805205
12,15,27,220.8381069
13,14,27,222.6143219
14,13,27,217.5045219
15,12,27,205.5087069
11,17,28,218.0818709
12,16,28,229.8692381
13,15,28,230.5393366
14,14,28,232.957705
15,13,28,220.0070228
11,18,29,223.7413394
12,17,29,234.373362
13,16,29,239.9886094
14,15,29,241.3111268
15,14,29,235.8898514
16,13,29,223.7247832
11,19,30,226.5603873
12,18,30,241.832196
13,17,30,246.2778599
14,16,30,252.5898826
15,15,30,248.140194
16,14,30,241.4412502
17,13,30,223.9817265
11,20,31,230.9620431
12,19,31,245.016008
13,18,31,254.1196848
14,17,31,259.2759354
15,16,31,259.824193
16,15,31,254.0985274
17,14,31,242.0989386
12,20,32,251.1174702
13,19,32,258.9946762
14,18,32,268.8528649
15,17,32,268.2276786
16,16,32,269.5291745
17,15,32,256.4774018
18,14,32,245.3512809
12,21,33,253.1564404
13,20,33,265.444876
14,19,33,274.0928897
15,18,33,278.1812789
16,17,33,278.3171906
17,16,33,272.2936161
18,15,33,260.1105554
12,22,34,258.0764964
13,21,34,269.0883187
14,20,34,282.1906841
15,19,34,285.0566735
16,18,34,289.9414623
17,17,34,284.6375888
18,16,34,277.6009352
13,22,35,274.3243876
15,20,35,293.5023916
16,19,35,297.1754016
17,18,35,296.6269025
18,17,35,290.3113813
19,16,35,278.228838
15,21,36,299.038484
16,20,36,307.2149834
17,19,36,305.4398338
18,18,36,305.7323915
19,17,36,292.5214704
16,21,37,313.0834622
17,20,37,315.8208108
18,19,37,314.8928756
19,18,37,308.2909194
20,17,37,296.0149423
16,22,38,321.7278575
17,21,38,323.2005176
18,20,38,326.813874
19,19,38,320.7247412
20,18,38,313.3274104
17,22,39,332.1624742
18,21,39,334.5194892
19,20,39,332.97676
20,19,39,326.0934865
21,18,39,313.8696688
16,24,40,333.7981926
17,23,40,338.2716776
18,22,40,344.9576724
19,21,40,342.145835
20,20,40,341.514391
21,19,40,328.1019712
16,25,41,337.3880389
18,23,41,351.3709531
19,22,41,352.8952146
20,21,41,350.9995896
21,20,41,343.8397692
22,19,41,331.4157534
16,26,42,343.6955472
18,24,42,360.4895521
19,23,42,360.7150015
20,22,42,363.1794425
21,21,42,356.3601133
22,20,42,348.5866374
16,27,43,346.3282318
18,25,43,365.7492534
19,24,43,370.1247773
20,23,43,371.2970968
21,22,43,368.8419363
22,21,43,361.4100314
23,20,43,349.0013821
16,28,44,351.6498921
18,26,44,373.6874369
19,25,44,376.7369439
20,24,44,382.0834574
