Z,N,A,magicZ,magicN,Z_valence,N_valence,pair,jejari,permukaan,|N-Z|,EB
8,8,16,0,0,0,0,8,2.5198421,6.349604208,0,127.6193152
8,9,17,0,0,0,1,6,2.571281591,6.611489018,1,131.7623947
9,8,17,0,0,1,0,3,2.571281591,6.611489018,1,128.2195828
8,10,18,0,0,0,2,9,2.620741394,6.868285455,2,139.8077658
9,9,18,0,0,1,1,1,2.620741394,6.868285455,0,137.3694894
10,8,18,0,0,2,0,7,2.620741394,6.868285455,2,132.1426386
8,11,19,0,0,0,3,6,2.668401649,7.120367359,3,143.7634088
9,10,19,0,0,1,2,4,2.668401649,7.120367359,1,147.8013648
10,9,19,0,0,2,1,5,2.668401649,7.120367359,1,143.7795189
11,8,19,0,0,3,0,3,2.668401649,7.120367359,3,131.8198416
8,12,20,0,0,0,4,9,2.714417617,7.368062997,4,151.371414
9,11,20,0,0,1,3,2,2.714417617,7.368062997,2,154.402702
10,10,20,0,0,2,2,8,2.714417617,7.368062997,0,160.644824
11,9,20,0,0,3,1,0,2.714417617,7.368062997,2,145.970056
12,8,20,0,0,4,0,7,2.714417617,7.368062997,4,134.560504
8,13,21,0,0,0,5,6,2.758924176,7.611662611,5,155.1768687
9,12,21,0,0,1,4,4,2.758924176,7.611662611,3,162.5041614
10,11,21,0,0,2,3,6,2.758924176,7.611662611,1,167.4059856
11,10,21,0,0,3,2,3,2.758924176,7.611662611,1,163.0767201
12,9,21,0,0,4,1,5,2.758924176,7.611662611,3,149.2056657
9,13,22,0,0,1,5,2,2.802039331,7.851424411,4,167.7344988
10,12,22,0,0,2,4,9,2.802039331,7.851424411,2,177.7702432
11,11,22,0,0,3,3,1,2.802039331,7.851424411,0,174.1445728
12,10,22,0,0,4,2,7,2.802039331,7.851424411,2,168.580819
10,13,23,0,0,2,5,6,2.84386698,8.087579399,3,182.9708903
11,12,23,0,0,3,4,4,2.84386698,8.087579399,1,186.5643528
12,11,23,0,0,4,3,5,2.84386698,8.087579399,1,181.7258267
13,10,23,0,0,5,2,3,2.84386698,8.087579399,3,168.7217325
10,14,24,0,0,2,6,9,2.884499141,8.320335292,4,191.8398048
11,13,24,0,0,3,5,2,2.884499141,8.320335292,2,193.5237168
12,12,24,0,0,4,4,8,2.884499141,8.320335292,0,198.2570472
13,11,24,0,0,5,3,0,2.884499141,8.320335292,2,183.5899344
14,10,24,0,0,6,2,7,2.884499141,8.320335292,4,172.0135896
11,14,25,0,0,3,6,4,2.924017738,8.549879733,3,202.5349475
12,13,25,0,0,4,5,6,2.924017738,8.549879733,1,205.58757
13,12,25,0,0,5,4,3,2.924017738,8.549879733,1,200.528415
14,11,25,0,0,6,3,5,2.924017738,8.549879733,3,187.0027725
10,16,26,0,0,2,8,9,2.962496068,8.776382955,6,201.549686
11,15,26,0,0,3,7,2,2.962496068,8.776382955,4,208.1092338
12,14,26,0,0,4,6,9,2.962496068,8.776382955,2,216.6806486
